;;Consumption_1;Consumption_2;Consumption_3;Consumption_Flag1;Consumption_Flag2;Consumption_Par1;Consumption_Par10;Consumption_Par11;Consumption_Par12;Consumption_Par13;Consumption_Par14
28.06.2021 00:00;28.06.2021 01:00;33,200;439,538;56,119;6.331,608;6.584,872;6.543,285;5.692,658;6.477,852;5.234,628;5.430,927;6.346,986
28.06.2021 01:00;28.06.2021 02:00;30,050;435,409;55,082;6.496,380;5.262,069;6.473,009;6.602,469;6.990,850;7.055,580;6.667,200;6.214,089
28.06.2021 02:00;28.06.2021 03:00;33,550;439,723;58,958;6.563,250;7.219,574;5.911,505;4.788,319;5.438,585;5.320,354;6.443,540;5.734,160
28.06.2021 03:00;28.06.2021 04:00;34,100;436,727;58,814;7.183,164;6.967,669;7.358,543;6.475,518;6.990,616;5.886,835;7.284,958;7.137,787
28.06.2021 04:00;28.06.2021 05:00;75,650;481,055;101,044;8.490,363;8.490,363;9.979,734;8.782,166;9.380,950;8.981,760;10.079,531;10.279,126
28.06.2021 05:00;28.06.2021 06:00;182,850;588,693;210,365;13.244,200;13.376,642;11.701,803;12.871,983;12.637,947;10.531,623;10.882,677;11.233,731
28.06.2021 06:00;28.06.2021 07:00;198,850;600,600;225,129;15.797,438;16.587,309;18.246,733;18.429,201;19.888,938;16.239,593;16.057,125;18.246,732
28.06.2021 07:00;28.06.2021 08:00;185,000;591,001;208,353;17.164,719;14.761,659;21.181,508;23.087,843;20.334,248;23.299,658;18.851,543;19.698,802
28.06.2021 08:00;28.06.2021 09:00;176,250;582,138;202,259;14.956,253;16.003,190;20.107,207;18.498,631;19.101,847;17.694,343;18.699,703;16.890,054
28.06.2021 09:00;28.06.2021 10:00;163,950;567,568;186,804;14.736,300;14.146,848;14.020,066;15.001,470;12.337,658;14.721,069;12.197,457;12.197,457
28.06.2021 10:00;28.06.2021 11:00;172,300;577,693;197,114;13.305,357;14.502,839;13.810,127;14.500,633;11.462,406;14.500,633;11.324,305;12.429,114
28.06.2021 11:00;28.06.2021 12:00;164,050;568,325;189,503;14.166,927;14.591,934;12.540,482;12.415,077;11.537,243;11.411,839;12.038,862;11.035,625
28.06.2021 12:00;28.06.2021 13:00;156,950;562,175;183,523;13.835,031;13.143,279;11.068,052;10.736,010;10.514,649;11.178,732;10.293,288;11.953,495
28.06.2021 13:00;28.06.2021 14:00;143,850;548,033;171,075;12.977,394;12.068,977;11.208,607;10.536,090;9.975,660;9.751,488;11.544,864;9.639,402
28.06.2021 14:00;28.06.2021 15:00;125,850;530,491;151,621;11.615,119;10.221,305;10.646,744;8.943,265;10.433,809;11.072,614;8.943,265;9.901,472
28.06.2021 15:00;28.06.2021 16:00;103,600;508,689;128,915;10.864,777;8.691,823;10.350,255;9.211,728;10.867,767;11.178,275;9.936,244;8.694,215
28.06.2021 16:00;28.06.2021 17:00;92,650;497,094;120,290;11.985,283;13.063,959;10.409,267;10.825,638;8.535,600;9.576,526;8.327,415;9.680,618
28.06.2021 17:00;28.06.2021 18:00;90,600;493,743;113,547;12.296,794;12.419,762;11.825,547;11.825,547;11.352,525;10.642,992;12.653,335;9.460,438
28.06.2021 18:00;28.06.2021 19:00;58,350;463,550;85,303;14.793,882;16.125,330;12.389,556;12.885,138;10.159,436;10.283,332;11.026,705;12.017,869
28.06.2021 19:00;28.06.2021 20:00;40,350;447,709;62,141;15.936,561;13.067,981;13.338,391;14.672,229;10.804,097;13.871,926;12.804,855;11.471,017
28.06.2021 20:00;28.06.2021 21:00;34,200;439,416;60,933;13.939,863;13.103,471;11.106,677;10.218,143;12.106,277;9.662,809;8.885,342;12.217,345
28.06.2021 21:00;28.06.2021 22:00;34,950;437,609;60,002;12.599,221;10.835,331;9.646,049;8.006,221;8.295,602;9.356,667;10.128,351;10.514,193
28.06.2021 22:00;28.06.2021 23:00;31,800;434,646;55,868;9.409,155;9.785,521;9.158,577;9.982,848;8.883,819;8.059,548;8.517,476;8.792,234
28.06.2021 23:00;29.06.2021 00:00;32,250;437,609;58,544;7.868,954;6.845,991;7.744,085;7.434,322;6.892,236;7.047,118;7.821,526;7.511,763
29.06.2021 00:00;29.06.2021 01:00;33,200;439,538;56,119;6.708,998;7.312,808;6.669,358;6.335,890;5.802,341;7.202,906;5.402,180;5.335,486
29.06.2021 01:00;29.06.2021 02:00;30,050;435,409;55,082;6.873,647;5.980,073;4.658,312;4.052,731;4.984,393;3.912,982;4.332,230;3.912,982
29.06.2021 02:00;29.06.2021 03:00;33,550;439,723;58,958;6.982,707;7.331,842;4.159,396;3.535,486;3.701,862;3.452,299;4.117,801;4.408,959
29.06.2021 03:00;29.06.2021 04:00;34,100;436,727;58,814;7.673,411;7.826,879;6.366,789;5.730,110;6.430,457;5.857,446;5.284,435;5.921,114
29.06.2021 04:00;29.06.2021 05:00;75,650;481,055;101,044;7.791,704;8.492,957;6.761,631;5.544,538;7.167,329;7.302,561;6.558,782;6.153,085
29.06.2021 05:00;29.06.2021 06:00;182,850;588,693;210,365;12.443,254;12.816,551;7.218,346;6.424,329;7.073,979;6.207,778;7.218,346;7.867,997
29.06.2021 06:00;29.06.2021 07:00;198,850;600,600;225,129;16.155,266;13.247,319;10.810,189;11.350,698;10.053,477;8.648,152;10.810,189;8.648,152
29.06.2021 07:00;29.06.2021 08:00;185,000;591,001;208,353;17.818,322;17.283,773;11.540,861;10.733,002;12.348,721;11.425,453;11.771,678;12.348,722
29.06.2021 08:00;29.06.2021 09:00;176,250;582,138;202,259;16.971,415;17.819,985;13.493,253;13.898,051;13.358,321;12.683,658;10.929,535;14.842,578
29.06.2021 09:00;29.06.2021 10:00;163,950;567,568;186,804;15.759,351;13.868,229;13.742,532;14.292,233;13.605,107;13.879,957;12.093,429;11.956,003
29.06.2021 10:00;29.06.2021 11:00;172,300;577,693;197,114;13.913,895;14.887,867;11.944,644;12.422,429;12.541,876;11.586,305;12.183,536;12.064,090
29.06.2021 11:00;29.06.2021 12:00;164,050;568,325;189,503;13.570,941;11.806,719;11.042,301;9.165,111;10.821,456;12.146,531;9.717,226;9.606,802
29.06.2021 12:00;29.06.2021 13:00;156,950;562,175;183,523;13.033,804;14.076,508;10.160,703;10.363,917;10.668,738;9.754,275;10.160,703;8.636,598
29.06.2021 13:00;29.06.2021 14:00;143,850;548,033;171,075;12.397,801;10.910,065;10.345,248;9.103,819;9.207,271;10.138,343;9.621,081;8.586,556
29.06.2021 14:00;29.06.2021 15:00;125,850;530,491;151,621;11.924,888;11.805,639;9.304,855;9.118,758;9.397,903;9.211,806;8.746,563;8.746,563
29.06.2021 15:00;29.06.2021 16:00;103,600;508,689;128,915;11.487,878;11.258,120;8.712,950;9.148,597;7.928,785;8.974,339;7.318,879;7.318,879
29.06.2021 16:00;29.06.2021 17:00;92,650;497,094;120,290;11.931,071;10.976,586;9.397,128;8.551,386;9.209,185;9.585,071;9.679,042;8.927,272
29.06.2021 17:00;29.06.2021 18:00;90,600;493,743;113,547;12.635,533;13.646,376;11.019,055;8.925,434;9.145,816;10.137,531;12.010,769;12.010,769
29.06.2021 18:00;29.06.2021 19:00;58,350;463,550;85,303;14.102,495;14.384,544;11.388,389;9.566,248;12.299,460;12.185,577;9.566,247;10.932,854
29.06.2021 19:00;29.06.2021 20:00;40,350;447,709;62,141;14.664,937;14.078,339;10.044,110;10.445,874;8.537,494;11.048,520;9.541,904;10.646,756
29.06.2021 20:00;29.06.2021 21:00;34,200;439,416;60,933;12.875,848;12.103,297;8.160,028;7.507,226;7.752,027;7.099,225;7.833,627;8.568,030
29.06.2021 21:00;29.06.2021 22:00;34,950;437,609;60,002;11.674,602;10.507,142;7.467,831;6.945,083;7.393,152;6.422,335;7.766,544;7.243,796
29.06.2021 22:00;29.06.2021 23:00;31,800;434,646;55,868;9.358,604;10.107,291;9.421,089;9.703,722;9.797,933;9.421,089;9.797,933;10.174,777
29.06.2021 23:00;30.06.2021 00:00;32,250;437,609;58,544;8.304,498;7.806,228;6.594,643;7.056,268;5.737,340;6.726,536;6.133,019;7.254,108
30.06.2021 00:00;30.06.2021 01:00;33,200;439,538;56,119;7.640,549;7.105,711;5.951,237;5.653,675;6.367,824;5.475,138;6.010,750;6.129,774
30.06.2021 01:00;30.06.2021 02:00;30,050;435,409;55,082;7.324,190;6.152,319;4.547,118;4.046,934;4.365,233;4.547,117;4.819,944;3.910,521
30.06.2021 02:00;30.06.2021 03:00;33,550;439,723;58,958;7.666,011;6.669,430;4.800,331;3.840,265;4.992,344;3.984,275;4.176,288;4.800,331
30.06.2021 03:00;30.06.2021 04:00;34,100;436,727;58,814;7.771,963;7.538,804;4.881,159;5.027,594;5.222,840;4.637,101;4.588,290;4.978,782
30.06.2021 04:00;30.06.2021 05:00;75,650;481,055;101,044;8.429,318;7.333,507;4.509,923;4.284,427;4.555,022;4.329,526;3.968,732;3.698,137
30.06.2021 05:00;30.06.2021 06:00;182,850;588,693;210,365;12.069,445;11.345,279;6.673,326;6.673,326;6.606,593;7.207,192;6.072,727;5.872,527
30.06.2021 06:00;30.06.2021 07:00;198,850;600,600;225,129;19.141,187;20.289,657;8.166,858;6.533,487;8.738,537;8.575,201;8.820,206;7.186,835
30.06.2021 07:00;30.06.2021 08:00;185,000;591,001;208,353;18.253,866;16.611,018;9.722,978;9.139,600;8.264,531;9.917,437;8.167,301;8.167,302
30.06.2021 08:00;30.06.2021 09:00;176,250;582,138;202,259;16.821,491;16.316,847;12.032,301;13.115,207;10.708,748;11.190,040;9.625,841;9.866,487
30.06.2021 09:00;30.06.2021 10:00;163,950;567,568;186,804;14.565,458;14.419,803;12.038,381;11.436,462;12.881,067;12.881,068;11.677,230;10.954,927
30.06.2021 10:00;30.06.2021 11:00;172,300;577,693;197,114;14.562,721;13.252,077;13.615,959;11.709,725;12.254,364;14.977,554;13.207,480;12.254,364
30.06.2021 11:00;30.06.2021 12:00;164,050;568,325;189,503;13.706,130;13.294,946;12.717,909;12.717,909;13.989,699;11.700,476;11.191,760;13.353,804
30.06.2021 12:00;30.06.2021 13:00;156,950;562,175;183,523;12.395,035;11.899,233;10.891,766;11.980,942;10.129,342;10.347,177;9.911,507;10.129,342
30.06.2021 13:00;30.06.2021 14:00;143,850;548,033;171,075;12.119,722;10.786,553;9.542,366;7.633,893;7.920,164;7.729,317;9.065,247;8.111,012
30.06.2021 14:00;30.06.2021 15:00;125,850;530,491;151,621;11.271,184;11.158,473;9.709,744;8.156,185;10.098,134;9.903,939;7.767,796;10.680,718
30.06.2021 15:00;30.06.2021 16:00;103,600;508,689;128,915;10.807,960;11.888,755;8.504,834;7.739,399;7.569,302;7.909,495;8.334,737;8.419,786
30.06.2021 16:00;30.06.2021 17:00;92,650;497,094;120,290;11.579,519;9.263,616;10.241,922;9.729,826;9.832,246;8.705,635;10.651,599;11.266,114
30.06.2021 17:00;30.06.2021 18:00;90,600;493,743;113,547;12.284,220;13.144,115;10.314,525;10.211,380;11.242,832;11.036,541;8.664,201;8.664,201
30.06.2021 18:00;30.06.2021 19:00;58,350;463,550;85,303;13.251,023;12.058,431;10.870,307;11.413,823;10.544,199;10.652,901;10.544,198;10.761,604
30.06.2021 19:00;30.06.2021 20:00;40,350;447,709;62,141;12.832,817;11.421,208;11.000,491;11.880,529;11.990,535;10.010,446;11.660,520;11.550,515
30.06.2021 20:00;30.06.2021 21:00;34,200;439,416;60,933;11.804,784;12.513,071;10.704,001;9.419,521;11.132,161;8.991,362;10.489,921;9.419,522
30.06.2021 21:00;30.06.2021 22:00;34,950;437,609;60,002;10.381,318;9.550,813;9.677,198;7.935,303;7.935,303;9.677,198;8.322,391;10.354,602
30.06.2021 22:00;30.06.2021 23:00;31,800;434,646;55,868;9.115,295;7.930,306;8.013,069;6.730,978;8.734,245;8.013,069;7.211,762;8.413,722
30.06.2021 23:00;01.07.2021 00:00;32,250;437,609;58,544;7.377,855;5.976,063;5.333,445;4.853,435;5.386,780;5.333,445;5.866,790;4.480,094
01.07.2021 00:00;01.07.2021 01:00;33,200;439,538;56,119;6.543,285;6.412,419;5.311,987;5.205,747;5.046,388;4.408,949;5.418,226;5.205,747
01.07.2021 01:00;01.07.2021 02:00;30,050;435,409;55,082;6.473,009;6.602,469;5.455,358;5.182,590;5.673,573;5.400,805;4.746,162;4.582,501
01.07.2021 02:00;01.07.2021 03:00;33,550;439,723;58,958;5.911,505;4.906,549;5.513,542;4.741,647;6.009,761;6.009,761;5.568,677;4.521,105
01.07.2021 03:00;01.07.2021 04:00;34,100;436,727;58,814;7.358,543;5.960,420;5.861,333;5.685,493;5.685,492;5.802,719;4.747,680;6.271,625
01.07.2021 04:00;01.07.2021 05:00;75,650;481,055;101,044;9.979,734;9.780,139;8.977,507;9.695,707;7.900,206;8.079,756;8.169,531;7.541,106
01.07.2021 05:00;01.07.2021 06:00;182,850;588,693;210,365;11.701,803;11.233,732;12.939,872;13.845,662;11.387,087;12.163,479;11.387,087;13.198,669
01.07.2021 06:00;01.07.2021 07:00;198,850;600,600;225,129;18.246,733;19.706,471;14.844,339;14.399,009;13.359,905;13.953,679;13.805,235;13.953,679
01.07.2021 07:00;01.07.2021 08:00;185,000;591,001;208,353;21.181,508;21.605,139;16.691,940;15.690,423;15.857,342;16.024,262;15.523,505;15.189,665
01.07.2021 08:00;01.07.2021 09:00;176,250;582,138;202,259;20.107,207;20.710,423;14.802,851;11.842,281;11.842,281;15.246,937;15.691,022;12.434,395
01.07.2021 09:00;01.07.2021 10:00;163,950;567,568;186,804;14.020,066;13.459,263;13.461,320;10.769,057;12.788,253;13.999,772;11.711,349;11.980,575
01.07.2021 10:00;01.07.2021 11:00;172,300;577,693;197,114;13.810,127;14.776,835;13.523,021;14.604,862;10.818,417;12.035,489;14.334,401;12.441,179
01.07.2021 11:00;01.07.2021 12:00;164,050;568,325;189,503;12.540,482;11.411,839;13.504,595;12.424,227;12.289,181;14.314,870;11.073,768;12.694,319
01.07.2021 12:00;01.07.2021 13:00;156,950;562,175;183,523;11.068,052;11.953,495;12.946,347;11.651,713;10.745,468;11.651,712;10.745,469;12.169,566
01.07.2021 13:00;01.07.2021 14:00;143,850;548,033;171,075;11.208,607;10.087,746;13.073,630;13.988,784;12.419,949;12.419,949;13.858,048;10.720,377
01.07.2021 14:00;01.07.2021 15:00;125,850;530,491;151,621;10.646,744;9.369,135;10.871,959;11.632,995;11.198,117;11.741,715;10.654,520;9.241,165
01.07.2021 15:00;01.07.2021 16:00;103,600;508,689;128,915;10.350,255;9.522,235;10.521,465;9.258,890;9.679,748;9.574,534;9.679,748;8.522,388
01.07.2021 16:00;01.07.2021 17:00;92,650;497,094;120,290;10.409,267;8.951,970;9.979,274;9.779,688;8.981,347;9.979,273;8.482,383;10.378,445
01.07.2021 17:00;01.07.2021 18:00;90,600;493,743;113,547;11.825,547;10.997,759;10.830,473;11.588,605;11.047,081;8.989,293;10.505,558;11.696,910
01.07.2021 18:00;01.07.2021 19:00;58,350;463,550;85,303;12.389,556;13.504,615;12.852,963;10.410,901;10.925,019;13.367,082;12.081,786;11.824,726
01.07.2021 19:00;01.07.2021 20:00;40,350;447,709;62,141;13.338,391;13.871,926;13.388,039;13.120,278;12.049,236;14.191,321;14.459,082;13.521,919
01.07.2021 20:00;01.07.2021 21:00;34,200;439,416;60,933;11.106,677;9.440,676;13.869,751;13.869,751;15.256,726;12.760,171;12.344,079;11.511,894
01.07.2021 21:00;01.07.2021 22:00;34,950;437,609;60,002;9.646,049;9.838,969;12.038,243;12.038,243;10.954,801;10.352,890;11.075,184;12.038,244
01.07.2021 22:00;01.07.2021 23:00;31,800;434,646;55,868;9.158,577;7.326,862;9.339,801;9.059,607;8.405,821;9.153,005;8.872,811;9.619,995
01.07.2021 23:00;02.07.2021 00:00;32,250;437,609;58,544;7.744,085;7.047,118;8.777,903;8.953,461;7.022,323;7.197,881;8.690,124;8.075,671
02.07.2021 00:00;02.07.2021 01:00;33,200;439,538;56,119;6.669,358;6.469,277;6.249,343;5.186,955;5.311,942;6.624,304;6.624,303;5.874,383
02.07.2021 01:00;02.07.2021 02:00;30,050;435,409;55,082;4.658,312;4.052,731;6.828,015;5.803,813;6.623,174;6.759,735;5.598,972;6.418,334
02.07.2021 02:00;02.07.2021 03:00;33,550;439,723;58,958;4.159,396;3.785,050;4.941,072;5.039,893;4.644,608;5.336,358;4.990,483;4.249,322
02.07.2021 03:00;02.07.2021 04:00;34,100;436,727;58,814;6.366,789;6.557,793;4.906,024;4.170,121;4.415,422;4.366,361;4.366,361;4.856,964
02.07.2021 04:00;02.07.2021 05:00;75,650;481,055;101,044;6.761,631;7.032,096;8.445,651;8.107,825;8.023,369;8.192,282;7.938,912;9.036,846
02.07.2021 05:00;02.07.2021 06:00;182,850;588,693;210,365;7.218,346;7.795,814;12.155,876;12.763,670;11.912,758;12.642,110;11.791,200;9.846,259
02.07.2021 06:00;02.07.2021 07:00;198,850;600,600;225,129;10.810,189;10.702,087;15.893,639;16.211,511;15.893,638;12.873,849;16.370,447;13.032,784
02.07.2021 07:00;02.07.2021 08:00;185,000;591,001;208,353;11.540,861;10.502,184;16.937,250;15.582,270;13.549,801;18.630,974;16.090,387;16.598,505
02.07.2021 08:00;02.07.2021 09:00;176,250;582,138;202,259;13.493,253;11.739,131;13.451,628;13.989,693;14.662,274;11.030,335;12.106,465;12.779,047
02.07.2021 09:00;02.07.2021 10:00;163,950;567,568;186,804;13.742,532;13.879,957;12.741,886;12.869,304;13.378,979;11.595,116;12.614,467;14.016,073
02.07.2021 10:00;02.07.2021 11:00;172,300;577,693;197,114;11.944,644;10.989,072;13.177,671;11.859,904;11.596,350;11.201,020;13.836,553;11.201,020
02.07.2021 11:00;02.07.2021 12:00;164,050;568,325;189,503;11.042,301;9.275,534;12.667,309;11.400,579;11.653,925;10.513,867;10.133,848;10.893,886
02.07.2021 12:00;02.07.2021 13:00;156,950;562,175;183,523;10.160,703;10.262,310;12.588,985;13.344,323;12.337,205;10.197,078;11.707,756;11.204,196
02.07.2021 13:00;02.07.2021 14:00;143,850;548,033;171,075;10.345,248;10.862,511;12.012,101;11.891,979;12.012,101;11.891,980;10.810,891;11.411,496
02.07.2021 14:00;02.07.2021 15:00;125,850;530,491;151,621;9.304,855;9.397,904;12.090,068;9.913,857;10.881,061;11.364,664;12.694,572;13.299,074
02.07.2021 15:00;02.07.2021 16:00;103,600;508,689;128,915;8.712,950;9.409,986;12.546,782;13.048,653;11.292,104;10.790,233;13.801,460;12.421,314
02.07.2021 16:00;02.07.2021 17:00;92,650;497,094;120,290;9.397,128;7.611,674;11.656,958;11.307,249;10.258,124;10.258,124;10.024,984;10.141,554
02.07.2021 17:00;02.07.2021 18:00;90,600;493,743;113,547;11.019,055;9.806,959;12.604,721;10.714,013;12.352,626;13.234,957;11.722,390;11.722,390
02.07.2021 18:00;02.07.2021 19:00;58,350;463,550;85,303;11.388,389;9.907,899;11.309,684;9.500,134;10.065,619;11.988,264;10.631,103;11.083,490
02.07.2021 19:00;02.07.2021 20:00;40,350;447,709;62,141;10.044,110;9.441,463;12.935,186;10.994,908;12.159,075;11.382,964;13.193,889;13.711,297
02.07.2021 20:00;02.07.2021 21:00;34,200;439,416;60,933;8.160,028;7.099,225;11.972,402;10.535,714;10.176,542;12.571,022;10.535,714;9.937,094
02.07.2021 21:00;02.07.2021 22:00;34,950;437,609;60,002;7.467,831;6.347,656;11.131,932;9.128,184;9.573,462;12.133,806;9.350,823;11.020,612
02.07.2021 22:00;02.07.2021 23:00;31,800;434,646;55,868;9.421,089;8.950,035;7.206,763;6.630,221;7.639,168;7.206,763;7.855,371;6.341,951
02.07.2021 23:00;03.07.2021 00:00;32,250;437,609;58,544;6.594,643;7.188,161;6.654,555;5.789,463;6.920,737;6.787,646;5.789,463;6.721,101
03.07.2021 00:00;03.07.2021 01:00;33,200;439,538;56,119;5.951,237;4.880,015;5.674,039;5.674,039;5.276,856;4.539,231;4.766,193;5.503,818
03.07.2021 01:00;03.07.2021 02:00;30,050;435,409;55,082;4.547,118;4.501,646;5.813,217;5.057,499;5.406,292;5.755,085;4.824,970;4.941,235
03.07.2021 02:00;03.07.2021 03:00;33,550;439,723;58,958;4.800,331;5.280,364;6.320,432;6.067,614;5.878,001;5.814,797;5.751,593;6.826,066
03.07.2021 03:00;03.07.2021 04:00;34,100;436,727;58,814;4.881,159;4.344,232;6.947,925;6.253,133;5.905,736;6.392,090;5.836,257;6.044,695
03.07.2021 04:00;03.07.2021 05:00;75,650;481,055;101,044;4.509,923;4.419,724;9.088,974;9.997,870;8.180,076;7.998,298;8.270,966;9.361,642
03.07.2021 05:00;03.07.2021 06:00;182,850;588,693;210,365;6.673,326;6.272,926;12.700,846;10.668,711;11.049,736;13.970,929;10.922,728;10.541,703
03.07.2021 06:00;03.07.2021 07:00;198,850;600,600;225,129;8.166,858;6.696,824;17.237,232;15.341,136;16.720,115;13.789,787;16.202,999;17.926,721
03.07.2021 07:00;03.07.2021 08:00;185,000;591,001;208,353;9.722,978;9.139,600;15.380,690;12.765,973;15.380,689;14.919,269;16.764,951;13.381,201
03.07.2021 08:00;03.07.2021 09:00;176,250;582,138;202,259;12.032,301;13.235,530;14.653,594;14.507,058;11.722,877;12.895,163;12.455,555;15.532,810
03.07.2021 09:00;03.07.2021 10:00;163,950;567,568;186,804;12.038,381;11.436,462;14.411,110;11.961,222;15.419,887;11.673,000;11.673,000;15.708,110
03.07.2021 10:00;03.07.2021 11:00;172,300;577,693;197,114;13.615,959;12.254,364;14.474,746;12.593,029;12.303,534;12.593,029;12.593,029;13.606,261
03.07.2021 11:00;03.07.2021 12:00;164,050;568,325;189,503;12.717,909;12.463,550;13.668,278;13.668,278;12.574,816;14.351,692;11.481,354;13.394,913
03.07.2021 12:00;03.07.2021 13:00;156,950;562,175;183,523;10.891,766;9.366,919;12.834,962;11.551,466;12.578,263;13.348,360;12.321,564;13.605,059
03.07.2021 13:00;03.07.2021 14:00;143,850;548,033;171,075;9.542,366;8.969,824;12.655,066;12.275,413;13.540,920;12.781,616;11.895,762;11.009,907
03.07.2021 14:00;03.07.2021 15:00;125,850;530,491;151,621;9.709,744;8.544,575;11.945,138;10.392,270;12.781,297;11.228,429;10.511,721;10.033,916
03.07.2021 15:00;03.07.2021 16:00;103,600;508,689;128,915;8.504,834;7.229,109;11.956,225;10.043,229;12.314,912;10.521,478;9.684,543;10.162,792
03.07.2021 16:00;03.07.2021 17:00;92,650;497,094;120,290;10.241,922;9.115,312;12.522,021;10.142,837;12.647,242;11.770,701;12.271,581;12.772,462
03.07.2021 17:00;03.07.2021 18:00;90,600;493,743;113,547;10.314,525;11.242,832;12.389,335;10.530,936;13.256,588;13.504,375;11.150,402;11.522,082
03.07.2021 18:00;03.07.2021 19:00;58,350;463,550;85,303;10.870,307;9.891,980;13.856,759;14.688,163;12.193,948;13.025,353;14.133,894;13.579,624
03.07.2021 19:00;03.07.2021 20:00;40,350;447,709;62,141;11.000,491;10.120,451;15.945,770;13.394,448;13.553,906;13.075,532;15.148,482;17.061,974
03.07.2021 20:00;03.07.2021 21:00;34,200;439,416;60,933;10.704,001;9.312,481;13.045,616;13.958,808;13.436,984;11.088,774;13.697,896;11.088,774
03.07.2021 21:00;03.07.2021 22:00;34,950;437,609;60,002;9.677,198;7.838,531;12.696,910;11.173,281;12.950,848;12.823,878;11.300,250;12.950,847
03.07.2021 22:00;03.07.2021 23:00;31,800;434,646;55,868;8.013,069;6.570,716;9.191,975;9.100,055;9.283,894;7.629,339;9.375,814;8.180,858
03.07.2021 23:00;04.07.2021 00:00;32,250;437,609;58,544;5.333,445;4.480,094;7.894,211;8.683,632;7.815,269;6.473,254;7.894,211;8.367,864
04.07.2021 00:00;04.07.2021 01:00;33,200;439,538;56,119;5.311,987;5.311,987;7.152,810;7.295,866;6.509,057;7.653,506;6.079,888;6.652,113
04.07.2021 01:00;04.07.2021 02:00;30,050;435,409;55,082;5.455,358;5.782,680;4.741,200;4.551,552;4.836,024;4.693,788;4.504,140;4.646,376
04.07.2021 02:00;04.07.2021 03:00;33,550;439,723;58,958;5.513,542;5.734,084;4.964,555;4.865,264;5.163,137;4.914,910;3.971,644;5.113,492
04.07.2021 03:00;04.07.2021 04:00;34,100;436,727;58,814;5.861,333;5.216,586;5.829,876;5.305,188;5.596,681;5.888,175;5.071,993;5.596,681
04.07.2021 04:00;04.07.2021 05:00;75,650;481,055;101,044;8.977,507;8.977,507;7.020,482;7.582,120;6.809,868;5.967,410;6.669,458;6.107,820
04.07.2021 05:00;04.07.2021 06:00;182,850;588,693;210,365;12.939,872;12.551,675;10.315,121;9.696,214;11.037,179;9.283,610;10.211,970;10.727,725
04.07.2021 06:00;04.07.2021 07:00;198,850;600,600;225,129;14.844,339;14.399,009;13.023,815;12.633,100;10.549,291;12.763,339;10.809,767;10.419,053
04.07.2021 07:00;04.07.2021 08:00;185,000;591,001;208,353;16.691,940;17.860,376;14.302,522;12.443,194;14.588,572;13.015,295;13.730,421;15.017,647
04.07.2021 08:00;04.07.2021 09:00;176,250;582,138;202,259;14.802,851;15.839,050;14.898,003;12.961,263;15.791,883;16.387,804;15.642,903;14.302,083
04.07.2021 09:00;04.07.2021 10:00;163,950;567,568;186,804;13.461,320;10.769,056;17.236,653;15.857,721;16.202,454;18.098,486;14.823,523;15.685,354
04.07.2021 10:00;04.07.2021 11:00;172,300;577,693;197,114;13.523,021;12.441,179;17.032,079;15.328,871;17.543,041;17.202,400;18.564,965;14.647,588
04.07.2021 11:00;04.07.2021 12:00;164,050;568,325;189,503;13.504,595;12.424,227;16.026,652;13.622,655;14.103,454;15.545,853;14.263,720;13.462,388
04.07.2021 12:00;04.07.2021 13:00;156,950;562,175;183,523;12.946,347;11.910,640;13.596,885;14.820,604;11.149,446;14.004,791;11.421,384;12.781,072
04.07.2021 13:00;04.07.2021 14:00;143,850;548,033;171,075;13.073,630;13.858,048;13.370,494;12.300,855;12.969,380;14.039,019;12.434,560;14.707,543
04.07.2021 14:00;04.07.2021 15:00;125,850;530,491;151,621;10.871,959;10.654,520;12.430,263;10.565,724;11.933,053;12.305,960;12.057,355;11.311,540
04.07.2021 15:00;04.07.2021 16:00;103,600;508,689;128,915;10.521,465;10.942,323;11.904,859;12.500,102;11.547,714;10.238,179;11.904,859;12.619,151
04.07.2021 16:00;04.07.2021 17:00;92,650;497,094;120,290;9.979,274;8.582,175;12.264,652;11.160,833;11.651,419;11.406,127;12.264,651;11.283,480
04.07.2021 17:00;04.07.2021 18:00;90,600;493,743;113,547;10.830,473;10.072,340;12.311,861;12.188,743;11.696,268;12.927,454;9.849,490;11.573,149
04.07.2021 18:00;04.07.2021 19:00;58,350;463,550;85,303;12.852,963;13.110,022;12.489,612;13.114,093;11.115,755;12.239,820;12.989,196;11.490,443
04.07.2021 19:00;04.07.2021 20:00;40,350;447,709;62,141;13.388,039;13.388,039;14.689,495;16.011,548;12.926,755;16.011,549;12.339,176;13.808,124
04.07.2021 20:00;04.07.2021 21:00;34,200;439,416;60,933;13.869,751;14.285,844;13.715,623;12.344,061;11.383,968;13.852,779;14.675,716;10.972,499
04.07.2021 21:00;04.07.2021 22:00;34,950;437,609;60,002;12.038,243;13.001,303;12.556,490;12.430,925;11.803,101;11.803,101;10.924,147;13.058,750
04.07.2021 22:00;04.07.2021 23:00;31,800;434,646;55,868;9.339,801;9.993,587;9.183,884;7.989,979;9.183,884;9.000,206;9.734,917;9.826,756
04.07.2021 23:00;05.07.2021 00:00;32,250;437,609;58,544;8.777,903;7.548,997;6.350,471;6.731,499;6.922,014;5.651,920;5.080,377;6.731,500
05.07.2021 00:00;05.07.2021 01:00;33,200;439,538;56,119;6.249,343;5.936,876;5.778,842;5.027,593;6.067,784;6.356,726;5.085,381;5.605,477
